disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
Flu,Fever,Cough,Sore throat,Runny nose,Headache,Fatigue,Body ache,Chills,Loss of appetite,Nausea,Sneezing,Watery eyes
Common Cold,Sneezing,Runny nose,Cough,Sore throat,Headache,Fatigue,Low fever,Body ache,Watery eyes,Nasal congestion,Chills,Loss of appetite
Malaria,Fever,Chills,Sweating,Headache,Nausea,Fatigue,Body ache,Muscle pain,Loss of appetite,Diarrhea,Vomiting,Anemia
Diabetes,Increased thirst,Frequent urination,Fatigue,Blurred vision,Weight loss,Nausea,Slow healing,Frequent infections,Numbness in hands/feet,Irritability,Frequent hunger,Yeast infections
Hypertension,Headache,Dizziness,Nosebleeds,Blurred vision,Chest pain,Fatigue,Shortness of breath,Irregular heartbeat,Nausea,Anxiety,Ringing in ears,Flushing
Asthma,Shortness of breath,Wheezing,Cough,Chest tightness,Fatigue,Anxiety,Difficulty sleeping,Rapid heartbeat,Runny nose,Sore throat,Allergy symptoms,Chest pain
Pneumonia,Fever,Cough,Chills,Shortness of breath,Chest pain,Fatigue,Nausea,Vomiting,Muscle pain,Loss of appetite,Headache,Sweating
Chickenpox,Fever,Rash,Itching,Fatigue,Headache,Loss of appetite,Muscle pain,Chills,Nausea,Sore throat,Blisters,Swollen lymph nodes
Measles,Fever,Rash,Cough,Runny nose,Red eyes,Sore throat,Fatigue,Body ache,Loss of appetite,Diarrhea,Conjunctivitis,Swollen lymph nodes
Hepatitis A,Fever,Fatigue,Nausea,Loss of appetite,Abdominal pain,Dark urine,Jaundice,Joint pain,Diarrhea,Muscle pain,Itching,Headache
Hepatitis B,Fever,Fatigue,Nausea,Loss of appetite,Abdominal pain,Dark urine,Jaundice,Joint pain,Muscle pain,Itching,Headache,Swollen liver
Hepatitis C,Fatigue,Nausea,Loss of appetite,Abdominal pain,Dark urine,Jaundice,Joint pain,Muscle pain,Itching,Headache,Depression,Weakness
COVID-19,Fever,Cough,Shortness of breath,Fatigue,Loss of taste,Loss of smell,Sore throat,Headache,Muscle pain,Chills,Nausea,Diarrhea
Bronchitis,Cough,Fatigue,Shortness of breath,Fever,Chest discomfort,Headache,Body ache,Sore throat,Runny nose,Muscle pain,Chills,Loss of appetite
Sinusitis,Headache,Facial pain,Runny nose,Postnasal drip,Cough,Fever,Fatigue,Pressure around eyes,Nasal congestion,Sore throat,Bad breath,Dizziness
Allergy,Itchy eyes,Sneezing,Runny nose,Cough,Hives,Swelling,Fatigue,Headache,Watery eyes,Skin rash,Shortness of breath,Anxiety
Gastroenteritis,Nausea,Vomiting,Diarrhea,Abdominal cramps,Fever,Headache,Fatigue,Loss of appetite,Dehydration,Chills,Muscle pain,Weakness
Urinary Tract Infection,Frequent urination,Burning sensation,Cloudy urine,Strong odor,Fever,Lower abdominal pain,Back pain,Nausea,Fatigue,Urgency,Chills,Confusion
Kidney Stones,Severe pain,Abdominal pain,Back pain,Nausea,Vomiting,Bloody urine,Fever,Frequent urination,Urgency,Fatigue,Chills,Loss of appetite
Osteoarthritis,Joint pain,Stiffness,Swelling,Decreased range of motion,Fatigue,Muscle weakness,Cracking sounds,Deformity,Redness,Warmth,Pain at night,Limping
Rheumatoid Arthritis,Joint pain,Swelling,Stiffness,Fatigue,Weakness,Loss of appetite,Fever,Redness,Warmth,Muscle pain,Limited mobility,Joint deformity
Anemia,Fatigue,Weakness,Pale skin,Shortness of breath,Dizziness,Headache,Cold hands/feet,Chest pain,Irregular heartbeat,Numbness in hands/feet,Lightheadedness,Cold intolerance
Iron Deficiency Anemia,Fatigue,Weakness,Pale skin,Shortness of breath,Dizziness,Headache,Brittle nails,Craving non-food items,Cold hands/feet,Chest pain,Irregular heartbeat,Numbness in hands/feet
Vitamin D Deficiency,Fatigue,Depression,Bone pain,Muscle weakness,Hair loss,Slow wound healing,Headache,Back pain,Joint pain,Impaired immunity,Anxiety,Loss of appetite
Scurvy,Fatigue,Bleeding gums,Swollen joints,Muscle pain,Joint pain,Loose teeth,Slow healing,Hair loss,Pale skin,Anemia,Fever,Weakness
Goiter,Swelling in neck,Fatigue,Weight change,Hair loss,Hoarseness,Difficulty swallowing,Bulging eyes,Heat/cold intolerance,Weakness,Headache,Anxiety,Irritability
Hyperthyroidism,Weight loss,Increased appetite,Fatigue,Heat intolerance,Anxiety,Tremors,Palpitations,Insomnia,Sweating,Diarrhea,Muscle weakness,Hair thinning
Hypothyroidism,Fatigue,Weight gain,Cold intolerance,Constipation,Depression,Dry skin,Brittle nails,Hair loss,Swelling,Hoarseness,Slow heart rate,Memory problems
Depression,Fatigue,Sadness,Loss of interest,Insomnia,Overeating,Undereating,Anxiety,Guilt,Low self-esteem,Difficulty concentrating,Agitation,Suicidal thoughts
Anxiety,Fatigue,Restlessness,Palpitations,Sweating,Trembling,Shortness of breath,Insomnia,Nausea,Dizziness,Muscle tension,Irritability,Headache
Insomnia,Difficulty falling asleep,Frequent waking,Earliest waking,Fatigue,Irritability,Daytime sleepiness,Headache,Anxiety,Depression,Concentration problems,Muscle pain,Heart palpitations
Obesity,Weight gain,Fatigue,Shortness of breath,Back pain,Joint pain,High blood pressure,High cholesterol,Sleep apnea,Insulin resistance,Low self-esteem,Depression,Low stamina
Heart Attack,Chest pain,Shortness of breath,Fatigue,Nausea,Sweating,Anxiety,Irregular heartbeat,Dizziness,Lightheadedness,Palpitations,Back pain,Arm pain
Stroke,Weakness on one side,Fatigue,Headache,Dizziness,Confusion,Vision problems,Loss of balance,Speech difficulty,Numbness,Seizures,Facial droop,Memory loss
Fibromyalgia,Muscle pain,Fatigue,Sleep disturbances,Headache,Depression,Anxiety,Stiffness,Numbness,Tingling,Memory problems,Concentration problems,Irritability
COPD,Shortness of breath,Cough,Wheezing,Fatigue,Chest tightness,Frequent infections,Weight loss,Sleep disturbances,Anxiety,Palpitations,Swelling,Blue lips
Celiac Disease,Diarrhea,Bloating,Gas,Abdominal pain,Fatigue,Weight loss,Anemia,Joint pain,Depression,Itchy skin,Nausea,Vomiting
Crohn's Disease,Abdominal pain,Diarrhea,Weight loss,Fatigue,Fever,Bloody stool,Mouth sores,Reduced appetite,Nausea,Joint pain,Delayed growth,Eye inflammation
Ulcerative Colitis,Abdominal pain,Diarrhea,Bloody stool,Fatigue,Weight loss,Loss of appetite,Fever,Rectal bleeding,Tenesmus,Joint pain,Skin rashes,Eye irritation
Parkinson's Disease,Tremor,Bradykinesia,Rigidity,Postural instability,Fatigue,Depression,Speech changes,Swallowing difficulty,Loss of balance,Memory problems,Constipation,Sleep disturbances
Alzheimer's Disease,Memory loss,Confusion,Disorientation,Difficulty speaking,Poor judgment,Personality changes,Fatigue,Loss of appetite,Anxiety,Depression,Hallucinations,Sleep disturbances
Epilepsy,Seizures,Loss of consciousness,Confusion,Staring spells,Muscle spasms,Tongue biting,Fatigue,Headache,Memory problems,Anxiety,Depression,Injury during seizure
Multiple Sclerosis,Weakness,Numbness,Tingling,Fatigue,Balance problems,Spasticity,Vision problems,Pain,Cognitive impairment,Depression,Urinary issues,Muscle spasms
Lupus,Fatigue,Joint pain,Rash,Fever,Hair loss,Photosensitivity,Raynaud's phenomenon,Mouth sores,Chest pain,Kidney issues,Anemia,Headache
Rheumatic Fever,Fever,Joint pain,Redness,Swelling,Heart murmur,Fatigue,Chest pain,Shortness of breath,Rash,Nodules,Stomach pain,Weakness
Polio,Fever,Fatigue,Headache,Stiff neck,Muscle pain,Muscle weakness,Paralysis,Nausea,Vomiting,Loss of reflexes,Difficulty breathing,Deformities
Diphtheria,Fever,Sore throat,Swollen glands,Weakness,Difficulty swallowing,Hoarseness,Cough,Nasal discharge,Muscle aches,Breathing difficulty,Heart problems,Nerve damage
Tetanus,Muscle stiffness,Jaw cramp,Muscle spasms,Fever,Sweating,High blood pressure,Rapid heartbeat,Headache,Irritability,Difficulty swallowing,Seizures,Paralysis
Shingles,Fever,Rash,Itching,Blisters,Headache,Fatigue,Muscle pain,Chills,Nausea,Sore throat,Loss of appetite,Sensitivity to light
Mumps,Fever,Swollen salivary glands,Headache,Muscle pain,Fatigue,Loss of appetite,Swollen cheeks,Pain while chewing,Joint pain,Chills,Nausea,Sore throat
Rubella,Fever,Rash,Headache,Swollen lymph nodes,Fatigue,Joint pain,Runny nose,Red eyes,Sore throat,Loss of appetite,Chills,Muscle pain
Whooping Cough,Cough,Fever,Runny nose,Vomiting,Shortness of breath,Fatigue,Apnea,Red eyes,Loss of appetite,Chills,Muscle pain,Headache
Polymyalgia Rheumatica,Fatigue,Muscle pain,Stiffness,Joint pain,Fever,Weight loss,Headache,Loss of appetite,Weakness,Chills,Shoulder pain,Hip pain
Guillain-Barre Syndrome,Weakness,Numbness,Tingling,Fatigue,Loss of reflexes,Pain,Difficulty walking,Shortness of breath,Heart rate changes,Swallowing difficulty,Muscle spasms,Paralysis
Bell's Palsy,Facial droop,Drooling,Weakness,Fatigue,Headache,Pain behind ear,Altered taste,Sensitivity to sound,Eye irritation,Difficulty closing eye,Speech difficulty,Numbness
Migraine with Aura,Headache,Nausea,Vomiting,Light sensitivity,Sound sensitivity,Visual disturbances,Fatigue,Dizziness,Irritability,Neck pain,Blurred vision,Anxiety
Tension Headache,Headache,Scalp tenderness,Neck pain,Shoulder pain,Fatigue,Anxiety,Insomnia,Stress,Sensitivity to light,Sensitivity to sound,Dizziness,Irritability
Cluster Headache,Severe headache,Red eyes,Nasal congestion,Runny nose,Sweating,Restlessness,Facial swelling,Ptosis,Photophobia,Tearing,Fatigue,Anxiety
Sinus Infection,Facial pain,Headache,Runny nose,Fever,Fatigue,Nasal congestion,Postnasal drip,Cough,Sore throat,Bad breath,Pressure around eyes,Chills
Ear Infection,Ear pain,Fever,Hearing loss,Fluid drainage,Irritability,Nausea,Vomiting,Fatigue,Loss of appetite,Redness,Dizziness,Headache
Tonsillitis,Sore throat,Fever,Difficulty swallowing,Headache,Fatigue,Swollen tonsils,Redness,White patches,Loss of appetite,Nausea,Muscle pain,Chills
Strep Throat,Sore throat,Fever,Red tonsils,White patches,Headache,Nausea,Vomiting,Fatigue,Swollen lymph nodes,Loss of appetite,Chills,Body ache
Scarlet Fever,Fever,Rash,Sore throat,Red tongue,Headache,Nausea,Chills,Fatigue,Muscle pain,Swollen glands,Loss of appetite,Body ache
Lyme Disease,Fever,Headache,Fatigue,Rash,Joint pain,Muscle pain,Swelling,Neurological symptoms,Heart palpitations,Loss of appetite,Chills,Neck stiffness
Rocky Mountain Spotted Fever,Fever,Rash,Headache,Nausea,Muscle pain,Joint pain,Chills,Fatigue,Loss of appetite,Red eyes,Swelling,Confusion
Dengue Fever,Fever,Headache,Muscle pain,Joint pain,Rash,Nausea,Vomiting,Chills,Fatigue,Loss of appetite,Bleeding gums,Red eyes
Yellow Fever,Fever,Headache,Muscle pain,Joint pain,Nausea,Vomiting,Chills,Fatigue,Jaundice,Loss of appetite,Bleeding,Weakness
Zika Virus,Fever,Rash,Joint pain,Conjunctivitis,Headache,Muscle pain,Fatigue,Loss of appetite,Nausea,Chills,Swelling,Red eyes
Ebola,Fever,Headache,Muscle pain,Weakness,Vomiting,Diarrhea,Abdominal pain,Loss of appetite,Chills,Internal bleeding,Rash,Fatigue
Marburg Virus,Fever,Headache,Muscle pain,Weakness,Vomiting,Diarrhea,Loss of appetite,Abdominal pain,Chills,Rash,Internal bleeding,Fatigue
Lassa Fever,Fever,Weakness,Headache,Muscle pain,Nausea,Vomiting,Diarrhea,Abdominal pain,Chest pain,Cough,Fatigue,Hearing loss
Hantavirus,Fever,Chills,Muscle aches,Fatigue,Headache,Nausea,Vomiting,Diarrhea,Abdominal pain,Shortness of breath,Cough,Loss of appetite
Influenza B,Fever,Cough,Headache,Fatigue,Sore throat,Body ache,Chills,Runny nose,Loss of appetite,Nausea,Muscle pain,Weakness
Rhinovirus Infection,Sneezing,Runny nose,Cough,Sore throat,Fatigue,Headache,Watery eyes,Chills,Loss of appetite,Muscle pain,Nausea,Body ache
Adenovirus Infection,Fever,Sore throat,Cough,Conjunctivitis,Runny nose,Fatigue,Body ache,Headache,Loss of appetite,Nausea,Muscle pain,Chills
Enterovirus Infection,Fever,Rash,Nausea,Diarrhea,Headache,Fatigue,Muscle pain,Joint pain,Loss of appetite,Chills,Sore throat,Vomiting
Measles Complication Pneumonia,Fever,Cough,Shortness of breath,Chills,Headache,Fatigue,Loss of appetite,Nausea,Muscle pain,Sore throat,Chest pain,Body ache
Pertussis (Whooping Cough),Cough,Fever,Runny nose,Vomiting,Shortness of breath,Chills,Fatigue,Loss of appetite,Red eyes,Muscle pain,Headache,Nasal congestion
Smallpox,Fever,Rash,Headache,Back pain,Fatigue,Chills,Muscle pain,Nausea,Loss of appetite,Sore throat,Swollen lymph nodes,Body ache
Polio Virus Infection,Fever,Fatigue,Headache,Muscle weakness,Paralysis,Nausea,Vomiting,Back pain,Loss of appetite,Muscle spasms,Stiff neck,Respiratory difficulty
Meningococcal Infection,Fever,Headache,Stiff neck,Nausea,Vomiting,Photophobia,Confusion,Fatigue,Loss of appetite,Muscle pain,Rash,Chills
Meningitis (Viral),Fever,Headache,Stiff neck,Nausea,Vomiting,Photophobia,Fatigue,Loss of appetite,Muscle pain,Chills,Rash,Confusion
Meningitis (Bacterial),Fever,Headache,Stiff neck,Nausea,Vomiting,Photophobia,Confusion,Fatigue,Rash,Seizures,Chills,Loss of appetite
Mumps Complication Orchitis,Fever,Swollen glands,Testicular pain,Nausea,Vomiting,Headache,Fatigue,Loss of appetite,Muscle pain,Chills,Body ache,Swelling
Kawasaki Disease,Fever,Rash,Swollen hands/feet,Red eyes,Strawberry tongue,Swollen lymph nodes,Headache,Joint pain,Fatigue,Irritability,Abdominal pain,Diarrhea
Guillain-Barre Post Infection,Weakness,Numbness,Tingling,Fatigue,Paralysis,Muscle pain,Loss of reflexes,Difficulty walking,Shortness of breath,Pain,Swelling,Heart rate changes
Toxic Shock Syndrome,Fever,Rash,Hypotension,Nausea,Vomiting,Diarrhea,Fatigue,Muscle pain,Confusion,Headache,Chills,Red eyes
Rheumatic Heart Disease,Fever,Joint pain,Heart murmur,Fatigue,Shortness of breath,Chest pain,Swelling,Nausea,Weakness,Palpitations,Headache,Chills
Endocarditis,Fever,Heart murmur,Fatigue,Shortness of breath,Chest pain,Swelling,Nausea,Weakness,Chills,Muscle pain,Confusion,Loss of appetite
Pericarditis,Chest pain,Fever,Fatigue,Shortness of breath,Heart palpitations,Swelling,Nausea,Weakness,Chills,Muscle pain,Anxiety,Loss of appetite
Myocarditis,Chest pain,Fever,Fatigue,Shortness of breath,Heart palpitations,Swelling,Nausea,Weakness,Chills,Muscle pain,Anxiety,Loss of appetite
Arrhythmia,Palpitations,Fatigue,Dizziness,Shortness of breath,Chest pain,Weakness,Anxiety,Headache,Swelling,Nausea,Loss of appetite,Confusion
Heart Failure,Shortness of breath,Fatigue,Swelling,Chest pain,Palpitations,Weight gain,Nausea,Weakness,Dizziness,Loss of appetite,Cough,Anxiety
Cardiomyopathy,Shortness of breath,Fatigue,Chest pain,Palpitations,Swelling,Dizziness,Weakness,Nausea,Loss of appetite,Cough,Anxiety,Headache
Peripheral Artery Disease,Leg pain,Fatigue,Numbness,Weakness,Cold feet,Slow healing,Muscle cramps,Swelling,Redness,Discoloration,Loss of appetite,Shortness of breath
Deep Vein Thrombosis,Leg pain,Swelling,Redness,Warmth,Fatigue,Weakness,Shortness of breath,Chest pain,Discoloration,Nausea,Loss of appetite,Dizziness
Pulmonary Embolism,Shortness of breath,Chest pain,Cough,Fatigue,Dizziness,Swelling,Nausea,Anxiety,Weakness,Loss of appetite,Palpitations,Leg pain
Astigmatism,Blurred vision,Headache,Eyestrain,Fatigue,Double vision,Nausea,Dizziness,Eye discomfort,Squinting,Neck pain,Light sensitivity,Eye irritation
Cataract,Blurred vision,Faded colors,Glare,Double vision,Night vision problems,Frequent prescription changes,Fatigue,Eye strain,Headache,Difficulty reading,Poor depth perception,Halo around lights
Glaucoma,Eye pain,Blurred vision,Nausea,Vomiting,Headache,Loss of peripheral vision,Halo around lights,Fatigue,Red eyes,Vision loss,Eye redness,Difficulty seeing at night
Macular Degeneration,Blurred central vision,Distorted vision,Faded colors,Difficulty reading,Headache,Fatigue,Difficulty recognizing faces,Vision loss,Nausea,Dizziness,Eye strain,Depression
Retinitis Pigmentosa,Night blindness,Losing peripheral vision,Tunnel vision,Blurred vision,Fatigue,Headache,Difficulty seeing in dim light,Eye strain,Color vision issues,Vision loss,Dizziness,Depression
Conjunctivitis,Red eyes,Itching,Discharge,Tearing,Swelling,Fatigue,Blurred vision,Headache,Light sensitivity,Eye pain,Nausea,Head congestion
Dry Eye,Fatigue,Itchy eyes,Burning sensation,Redness,Blurred vision,Tearing,Eye strain,Headache,Sensitivity to light,Difficulty wearing contacts,Neck pain,Blurred vision
Diabetic Retinopathy,Blurred vision,Floaters,Dark spots,Vision loss,Fatigue,Headache,Eye pain,Nausea,Swelling,Difficulty reading,Blurred colors,Dizziness
Keratitis,Eye pain,Red eyes,Tearing,Blurred vision,Light sensitivity,Discharge,Fatigue,Headache,Swelling,Itching,Nausea,Blurred vision
Uveitis,Eye pain,Red eyes,Blurred vision,Light sensitivity,Tearing,Fatigue,Headache,Swelling,Nausea,Floaters,Decreased vision,Blurred colors
Amblyopia (Lazy Eye),Blurred vision,Poor depth perception,Fatigue,Headache,Double vision,Difficulty reading,Eye strain,Nausea,Dizziness,Light sensitivity,Eye discomfort,Difficulty recognizing faces
Retinal Detachment,Floaters,Flashes of light,Shadow in vision,Blurred vision,Vision loss,Fatigue,Headache,Eye pain,Nausea,Red eyes,Difficulty seeing,Night blindness
Color Blindness,Color confusion,Fatigue,Eye strain,Headache,Blurred vision,Difficulty distinguishing colors,Nausea,Dizziness,Light sensitivity,Eye discomfort,Vision loss,Neck pain
Myopia (Nearsightedness),Blurred distance vision,Eye strain,Headache,Fatigue,Squinting,Double vision,Nausea,Dizziness,Difficulty seeing signs,Blurred vision,Neck pain,Light sensitivity
Hyperopia (Farsightedness),Blurred near vision,Eye strain,Headache,Fatigue,Double vision,Squinting,Nausea,Dizziness,Difficulty reading,Blurred vision,Neck pain,Light sensitivity
Presbyopia,Fatigue,Blurred near vision,Eye strain,Headache,Difficulty reading,Nausea,Dizziness,Light sensitivity,Double vision,Neck pain,Blurred vision,Eye discomfort
Asthma (Exercise-Induced),Shortness of breath,Wheezing,Cough,Fatigue,Chest tightness,Dizziness,Headache,Anxiety,Muscle pain,Loss of appetite,Nausea,Chills
Chronic Bronchitis,Cough,Fatigue,Shortness of breath,Chest discomfort,Headache,Body ache,Sore throat,Runny nose,Muscle pain,Chills,Loss of appetite,Fever
Emphysema,Shortness of breath,Fatigue,Cough,Wheezing,Chest tightness,Weight loss,Muscle weakness,Dizziness,Headache,Anxiety,Swelling,Loss of appetite
Pulmonary Fibrosis,Shortness of breath,Fatigue,Cough,Chest discomfort,Loss of appetite,Weight loss,Muscle pain,Weakness,Dizziness,Clubbing of fingers,Chest tightness,Anxiety
Pneumothorax,Shortness of breath,Chest pain,Fatigue,Cough,Dizziness,Anxiety,Weakness,Nausea,Muscle pain,Headache,Loss of appetite,Swelling
Pleural Effusion,Shortness of breath,Chest pain,Cough,Fatigue,Dizziness,Swelling,Weight loss,Muscle pain,Headache,Nausea,Anxiety,Weakness
Pulmonary Hypertension,Shortness of breath,Fatigue,Chest pain,Dizziness,Swelling,Weakness,Palpitations,Nausea,Muscle pain,Anxiety,Loss of appetite,Headache
Cystic Fibrosis,Cough,Fatigue,Shortness of breath,Salty skin,Weight loss,Lung infections,Muscle weakness,Dizziness,Headache,Nausea,Loss of appetite,Chest discomfort
Bronchiectasis,Cough,Fatigue,Shortness of breath,Chest discomfort,Recurrent infections,Muscle pain,Weight loss,Dizziness,Nausea,Anxiety,Loss of appetite,Headache
Acute Respiratory Distress Syndrome,Shortness of breath,Fatigue,Cough,Chest pain,Confusion,Dizziness,Weakness,Nausea,Muscle pain,Anxiety,Loss of appetite,Headache
Sarcoidosis,Fatigue,Shortness of breath,Chest pain,Cough,Swollen lymph nodes,Muscle pain,Dizziness,Weight loss,Joint pain,Headache,Loss of appetite,Swelling
Sleep Apnea,Fatigue,Loud snoring,Shortness of breath,Morning headache,Daytime sleepiness,Irritability,Memory problems,Dizziness,Muscle pain,Weakness,Anxiety,Weight gain
Acute Sinusitis,Facial pain,Headache,Fever,Runny nose,Fatigue,Nasal congestion,Postnasal drip,Cough,Sore throat,Bad breath,Pressure around eyes,Chills
Chronic Sinusitis,Facial pain,Headache,Fatigue,Runny nose,Nasal congestion,Postnasal drip,Cough,Sore throat,Bad breath,Pressure around eyes,Loss of appetite,Chills
Tonsilloliths,Bad breath,Sore throat,Fever,Swollen tonsils,Headache,Fatigue,Red tonsils,White patches,Loss of appetite,Nausea,Muscle pain,Chills
Peritonsillar Abscess,Sore throat,Fever,Difficulty swallowing,Headache,Fatigue,Swollen tonsils,Redness,White patches,Nausea,Muscle pain,Chills,Loss of appetite
Pharyngitis,Sore throat,Fever,Headache,Fatigue,Redness,Swollen lymph nodes,Nausea,Loss of appetite,Muscle pain,Chills,Cough,Runny nose
Laryngitis,Hoarseness,Fatigue,Sore throat,Cough,Loss of voice,Fever,Headache,Muscle pain,Swollen lymph nodes,Nausea,Chills,Weakness
Vocal Cord Nodules,Hoarseness,Fatigue,Voice changes,Sore throat,Throat pain,Difficulty speaking,Headache,Neck pain,Muscle strain,Nausea,Weakness,Loss of appetite
Vocal Cord Polyps,Hoarseness,Voice changes,Sore throat,Fatigue,Throat pain,Difficulty speaking,Headache,Neck pain,Muscle strain,Nausea,Weakness,Loss of appetite
Epiglottitis,Fever,Sore throat,Difficulty swallowing,Fatigue,Hoarseness,Neck pain,Cough,Drooling,Chills,Nausea,Weakness,Shortness of breath
Laryngeal Cancer,Hoarseness,Sore throat,Fatigue,Difficulty swallowing,Neck lump,Cough,Breathing difficulty,Weight loss,Nausea,Muscle pain,Anxiety,Loss of appetite
Esophagitis,Heartburn,Fatigue,Chest pain,Difficulty swallowing,Nausea,Vomiting,Loss of appetite,Weight loss,Muscle pain,Weakness,Headache,Chills
GERD,Heartburn,Regurgitation,Fatigue,Chest pain,Difficulty swallowing,Chronic cough,Hoarseness,Loss of appetite,Nausea,Weight loss,Muscle pain,Weakness
Peptic Ulcer,Fatigue,Abdominal pain,Nausea,Bloating,Heartburn,Loss of appetite,Weight loss,Dark stools,Vomiting,Weakness,Headache,Chills
Gastritis,Abdominal pain,Fatigue,Nausea,Bloating,Heartburn,Loss of appetite,Vomiting,Weight loss,Weakness,Headache,Chills,Diarrhea
Irritable Bowel Syndrome,Abdominal pain,Bloating,Gas,Diarrhea,Constipation,Fatigue,Nausea,Headache,Anxiety,Depression,Loss of appetite,Muscle pain
Lactose Intolerance,Bloating,Diarrhea,Gas,Abdominal pain,Nausea,Fatigue,Headache,Cramping,Weakness,Loss of appetite,Muscle pain,Anxiety
Pancreatitis,Abdominal pain,Fever,Nausea,Vomiting,Fatigue,Loss of appetite,Weight loss,Back pain,Weakness,Chills,Muscle pain,Jaundice
Hepatitis D,Fever,Fatigue,Nausea,Loss of appetite,Abdominal pain,Dark urine,Jaundice,Muscle pain,Joint pain,Headache,Weakness,Chills
Hepatitis E,Fever,Fatigue,Nausea,Loss of appetite,Abdominal pain,Dark urine,Jaundice,Muscle pain,Joint pain,Headache,Weakness,Swelling
Fatty Liver Disease,Fatigue,Abdominal discomfort,Weight loss,Loss of appetite,Nausea,Weakness,Swelling,Headache,Dizziness,Jaundice,Muscle pain,Joint pain
Cirrhosis,Fatigue,Weakness,Loss of appetite,Nausea,Abdominal swelling,Itching,Jaundice,Bruising,Confusion,Bleeding,Fever,Muscle pain
