disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
Liver Cancer,Abdominal pain,Weight loss,Fatigue,Loss of appetite,Nausea,Jaundice,Swelling,Bruising,Fever,Weakness,Muscle pain,Back pain
Gallstones,Abdominal pain,Nausea,Vomiting,Fever,Jaundice,Indigestion,Bloating,Fatigue,Loss of appetite,Back pain,Weakness,Muscle pain
Cholecystitis,Abdominal pain,Fever,Nausea,Vomiting,Bloating,Fatigue,Loss of appetite,Jaundice,Muscle pain,Weakness,Chills,Headache
Pancreatic Cancer,Abdominal pain,Weight loss,Fatigue,Loss of appetite,Nausea,Back pain,Jaundice,Weakness,Muscle pain,Swelling,Headache,Diarrhea
Diabetes Type 1,Increased thirst,Frequent urination,Fatigue,Weight loss,Nausea,Blurred vision,Hunger,Irritability,Numbness in hands/feet,Slow healing,Fever,Muscle pain
Diabetes Type 2,Increased thirst,Frequent urination,Fatigue,Blurred vision,Weight gain,Nausea,Hunger,Irritability,Slow healing,Frequent infections,Numbness in hands/feet,Loss of appetite
Hypoglycemia,Sweating,Trembling,Hunger,Fatigue,Dizziness,Confusion,Headache,Irritability,Palpitations,Blurred vision,Nausea,Weakness
Hyperglycemia,Increased thirst,Frequent urination,Fatigue,Blurred vision,Headache,Nausea,Weight loss,Confusion,Dizziness,Weakness,Muscle pain,Loss of appetite
Addison's Disease,Fatigue,Weight loss,Loss of appetite,Low blood pressure,Nausea,Vomiting,Dizziness,Muscle weakness,Hyperpigmentation,Abdominal pain,Joint pain,Weakness
Cushing's Syndrome,Weight gain,Fatigue,Muscle weakness,High blood pressure,Round face,Abdominal fat,Headache,Anxiety,Depression,Thin skin,Bruising,Slow healing
Hyperparathyroidism,Weakness,Fatigue,Bone pain,Abdominal pain,Nausea,Vomiting,Constipation,Headache,Confusion,Anxiety,Depression,Loss of appetite
Hypoparathyroidism,Muscle cramps,Tingling,Spasms,Fatigue,Weakness,Headache,Anxiety,Seizures,Nausea,Abdominal pain,Loss of appetite,Depression
Osteoporosis,Fractures,Fatigue,Back pain,Loss of height,Posture change,Weakness,Bone pain,Joint pain,Muscle pain,Swelling,Limited mobility,Depression
Gout,Joint pain,Swelling,Redness,Stiffness,Fatigue,Heat over joints,Limited mobility,Inflammation,Tenderness,Nausea,Weakness,Chills
Kidney Failure,Fatigue,Weakness,Swelling,Nausea,Vomiting,Loss of appetite,Shortness of breath,Confusion,Chest pain,Muscle cramps,Itching,Dizziness
Nephrotic Syndrome,Swelling,Proteinuria,Fatigue,Loss of appetite,Weakness,Nausea,Vomiting,High blood pressure,Muscle cramps,Weight gain,Headache,Chills
Urinary Incontinence,Frequent urination,Urgency,Leakage,Fatigue,Weakness,Discomfort,Nausea,Muscle pain,Back pain,Anxiety,Depression,Loss of appetite
Prostate Cancer,Fatigue,Weakness,Painful urination,Blood in urine,Frequent urination,Back pain,Hip pain,Loss of appetite,Weight loss,Swelling,Muscle pain,Headache
Benign Prostatic Hyperplasia,Frequent urination,Urgency,Weak stream,Nocturia,Fatigue,Back pain,Bladder discomfort,Incomplete emptying,Muscle pain,Loss of appetite,Anxiety,Weakness
Testicular Cancer,Testicular lump,Pain,Fatigue,Weakness,Swelling,Back pain,Abdominal pain,Loss of appetite,Weight loss,Muscle pain,Nausea,Chills
Erectile Dysfunction,Fatigue,Weakness,Loss of libido,Anxiety,Depression,Stress,Headache,Muscle weakness,Loss of appetite,Weight change,Palpitations,Dizziness
Infertility,Fatigue,Weakness,Irregular periods,Hormonal imbalance,Anxiety,Depression,Loss of libido,Weight change,Muscle pain,Headache,Nausea,Swelling
Polycystic Ovary Syndrome,Irregular periods,Weight gain,Acne,Hirsutism,Infertility,Fatigue,Hair thinning,Headache,Depression,Anxiety,Nausea,Loss of appetite
Endometriosis,Pelvic pain,Heavy periods,Infertility,Fatigue,Bloating,Headache,Back pain,Muscle pain,Nausea,Anxiety,Depression,Loss of appetite
Menopause,Hot flashes,Fatigue,Mood swings,Weight gain,Insomnia,Depression,Anxiety,Headache,Joint pain,Muscle pain,Loss of appetite,Weakness
Premenstrual Syndrome,Bloating,Fatigue,Mood swings,Headache,Acne,Cramping,Breast tenderness,Weight gain,Anxiety,Depression,Loss of appetite,Muscle pain
Pregnancy,Fatigue,Nausea,Vomiting,Back pain,Breast tenderness,Headache,Swelling,Heartburn,Constipation,Anxiety,Depression,Loss of appetite
Eclampsia,High blood pressure,Seizures,Fatigue,Swelling,Headache,Nausea,Vomiting,Visual disturbances,Weakness,Anxiety,Confusion,Loss of appetite
Preeclampsia,High blood pressure,Swelling,Fatigue,Headache,Nausea,Vomiting,Visual disturbances,Weight gain,Anxiety,Weakness,Loss of appetite,Muscle pain
Gestational Diabetes,Increased thirst,Frequent urination,Fatigue,Blurred vision,Nausea,Weight gain,Headache,Weakness,Muscle pain,Loss of appetite,Anxiety,Swelling
Miscarriage,Fatigue,Bleeding,Cramping,Abdominal pain,Nausea,Headache,Back pain,Loss of appetite,Weakness,Anxiety,Depression,Muscle pain
Ovarian Cyst,Abdominal pain,Bloating,Fatigue,Back pain,Headache,Nausea,Weakness,Irregular periods,Loss of appetite,Muscle pain,Anxiety,Swelling
Fibroid,Fatigue,Heavy periods,Abdominal pain,Bloating,Back pain,Headache,Weakness,Loss of appetite,Nausea,Swelling,Muscle pain,Anxiety
Cervical Cancer,Abnormal bleeding,Fatigue,Back pain,Weight loss,Loss of appetite,Pelvic pain,Weakness,Nausea,Headache,Muscle pain,Swelling,Anxiety
Vaginitis,Itching,Foul odor,Discharge,Pain,Fatigue,Swelling,Nausea,Headache,Muscle pain,Loss of appetite,Anxiety,Weakness
Pyelonephritis,Fever,Back pain,Nausea,Vomiting,Fatigue,Chills,Loss of appetite,Weakness,Muscle pain,Abdominal pain,Urinary urgency,Headache
Cystitis,Fever,Burning urination,Fatigue,Back pain,Chills,Nausea,Weakness,Loss of appetite,Muscle pain,Frequent urination,Abdominal discomfort,Headache
Glomerulonephritis,Fatigue,Swelling,Blood in urine,Urinary changes,Loss of appetite,Weakness,Muscle pain,High blood pressure,Nausea,Headache,Chills,Back pain
Nephrolithiasis,Severe flank pain,Nausea,Vomiting,Fatigue,Bloody urine,Weakness,Chills,Abdominal pain,Back pain,Loss of appetite,Muscle pain,Swelling
Hypospadias,Fatigue,Urinary issues,Pain,Infections,Weakness,Loss of appetite,Swelling,Muscle pain,Back pain,Nausea,Headache,Anxiety
Epispadias,Fatigue,Urinary issues,Pain,Infections,Weakness,Loss of appetite,Swelling,Muscle pain,Back pain,Nausea,Headache,Anxiety
Testicular Torsion,Severe testicular pain,Nausea,Vomiting,Fatigue,Swelling,Weakness,Abdominal pain,Back pain,Loss of appetite,Muscle pain,Chills,Anxiety
Hydrocele,Swelling,Painless lump,Fatigue,Discomfort,Weakness,Loss of appetite,Muscle pain,Back pain,Anxiety,Chills,Nausea,Headache
Varicocele,Swelling,Fatigue,Discomfort,Weakness,Back pain,Loss of appetite,Muscle pain,Nausea,Anxiety,Chills,Headache,Pain during standing
Prostatitis,Fever,Painful urination,Fatigue,Weakness,Back pain,Abdominal pain,Nausea,Loss of appetite,Muscle pain,Swelling,Chills,Anxiety
Prostate Hyperplasia,Frequent urination,Urgency,Weak stream,Nocturia,Fatigue,Back pain,Bladder discomfort,Incomplete emptying,Muscle pain,Loss of appetite,Anxiety,Weakness
Epididymitis,Scrotal pain,Swelling,Fever,Fatigue,Nausea,Back pain,Weakness,Loss of appetite,Muscle pain,Chills,Redness,Painful urination
Orchitis,Testicular pain,Swelling,Fever,Fatigue,Nausea,Weakness,Loss of appetite,Back pain,Muscle pain,Chills,Redness,Painful urination
Pelvic Inflammatory Disease,Abdominal pain,Fever,Fatigue,Discharge,Nausea,Back pain,Weakness,Loss of appetite,Muscle pain,Chills,Headache,Anxiety
Endometrial Cancer,Abnormal bleeding,Fatigue,Back pain,Abdominal pain,Weight loss,Loss of appetite,Nausea,Weakness,Muscle pain,Swelling,Headache,Anxiety
Ovarian Cancer,Abdominal pain,Bloating,Fatigue,Back pain,Weight loss,Loss of appetite,Nausea,Weakness,Muscle pain,Swelling,Headache,Anxiety
Breast Cancer,Lump in breast,Fatigue,Pain,Swelling,Weight loss,Loss of appetite,Nipple discharge,Back pain,Muscle pain,Weakness,Nausea,Anxiety
Mastitis,Breast pain,Redness,Swelling,Fever,Fatigue,Nipple discharge,Nausea,Weakness,Loss of appetite,Muscle pain,Chills,Headache
Fibrocystic Breast Changes,Lump in breast,Pain,Bloating,Fatigue,Swelling,Weakness,Loss of appetite,Muscle pain,Back pain,Headache,Nipple discharge,Anxiety
Thyroid Cancer,Lump in neck,Fatigue,Hoarseness,Neck pain,Swelling,Weight loss,Loss of appetite,Nausea,Weakness,Muscle pain,Headache,Anxiety
Thyroiditis,Fatigue,Neck pain,Swelling,Hoarseness,Loss of appetite,Nausea,Weakness,Muscle pain,Headache,Chills,Weight change,Anxiety
Graves' Disease,Weight loss,Heat intolerance,Anxiety,Fatigue,Palpitations,Tremors,Insomnia,Sweating,Muscle weakness,Hair thinning,Headache,Loss of appetite
Hashimoto's Thyroiditis,Fatigue,Weight gain,Cold intolerance,Depression,Constipation,Dry skin,Brittle nails,Hair loss,Swelling,Hoarseness,Slow heart rate,Memory problems
Hypopituitarism,Fatigue,Weakness,Loss of appetite,Weight loss,Nausea,Muscle pain,Depression,Anxiety,Headache,Hair loss,Low blood pressure,Cold intolerance
Acromegaly,Enlarged hands/feet,Fatigue,Headache,Joint pain,Swelling,Muscle weakness,Vision problems,Sleep apnea,Weight gain,Back pain,Loss of appetite,Anxiety
Gigantism,Excessive growth,Fatigue,Joint pain,Muscle weakness,Headache,Swelling,Vision problems,Back pain,Loss of appetite,Weakness,Anxiety,Weight gain
Addisonian Crisis,Severe fatigue,Weakness,Low blood pressure,Nausea,Vomiting,Abdominal pain,Confusion,Loss of consciousness,Muscle pain,Chills,Headache,Loss of appetite
Pheochromocytoma,High blood pressure,Palpitations,Headache,Sweating,Anxiety,Tremors,Fatigue,Weight loss,Nausea,Weakness,Chest pain,Loss of appetite
Hyperaldosteronism,High blood pressure,Fatigue,Weakness,Muscle cramps,Nausea,Headache,Swelling,Loss of appetite,Palpitations,Dizziness,Anxiety,Weight gain
Hypoaldosteronism,Fatigue,Weakness,Low blood pressure,Nausea,Muscle cramps,Loss of appetite,Dizziness,Headache,Swelling,Anxiety,Weight loss,Confusion
Cushing's Disease,Fatigue,Weight gain,Muscle weakness,High blood pressure,Round face,Abdominal fat,Depression,Anxiety,Thin skin,Bruising,Slow healing,Headache
Pituitary Tumor,Fatigue,Headache,Vision problems,Weakness,Nausea,Weight changes,Loss of appetite,Anxiety,Depression,Muscle pain,Swelling,Back pain
Craniopharyngioma,Fatigue,Headache,Vision problems,Weakness,Nausea,Weight changes,Loss of appetite,Depression,Anxiety,Muscle pain,Swelling,Memory loss
Diabetes Insipidus,Excessive thirst,Frequent urination,Fatigue,Weakness,Dizziness,Headache,Nausea,Loss of appetite,Muscle cramps,Weight loss,Swelling,Confusion
SIADH,Fatigue,Weakness,Nausea,Headache,Confusion,Muscle cramps,Seizures,Dizziness,Swelling,Loss of appetite,Anxiety,Weight gain
Thyroid Nodule,Lump in neck,Fatigue,Swelling,Hoarseness,Loss of appetite,Weight change,Headache,Neck pain,Weakness,Muscle pain,Nausea,Anxiety
Osteopenia,Weakness,Fatigue,Back pain,Bone pain,Limited mobility,Joint pain,Muscle pain,Swelling,Fractures,Loss of appetite,Headache,Anxiety
Paget's Disease of Bone,Bone pain,Deformity,Fatigue,Swelling,Weakness,Fractures,Headache,Muscle pain,Loss of appetite,Joint pain,Weight change,Anxiety
Osteogenesis Imperfecta,Fragile bones,Fatigue,Weakness,Deformities,Joint pain,Muscle pain,Swelling,Fractures,Back pain,Headache,Loss of appetite,Anxiety
Rickets,Bone pain,Weakness,Fatigue,Delayed growth,Muscle pain,Swelling,Deformities,Joint pain,Headache,Loss of appetite,Weight change,Anxiety
Scoliosis,Back pain,Fatigue,Posture change,Limited mobility,Muscle pain,Swelling,Weakness,Headache,Loss of appetite,Anxiety,Deformity,Weight change
Kyphosis,Back pain,Fatigue,Posture change,Limited mobility,Muscle pain,Weakness,Swelling,Headache,Loss of appetite,Anxiety,Deformity,Weight change
Lordosis,Back pain,Fatigue,Posture change,Limited mobility,Muscle pain,Weakness,Swelling,Headache,Loss of appetite,Anxiety,Deformity,Weight change
Herniated Disc,Back pain,Leg pain,Numbness,Tingling,Fatigue,Weakness,Muscle cramps,Swelling,Loss of appetite,Headache,Anxiety,Limited mobility
Spinal Stenosis,Back pain,Leg pain,Fatigue,Numbness,Weakness,Tingling,Muscle cramps,Limited mobility,Swelling,Loss of appetite,Headache,Anxiety
Sciatica,Back pain,Leg pain,Numbness,Tingling,Fatigue,Weakness,Muscle cramps,Limited mobility,Swelling,Loss of appetite,Headache,Anxiety
Carpal Tunnel Syndrome,Wrist pain,Numbness,Tingling,Fatigue,Weakness,Muscle pain,Swelling,Loss of grip,Headache,Loss of appetite,Anxiety,Neck pain
Tendonitis,Pain,Swelling,Fatigue,Weakness,Limited mobility,Muscle pain,Loss of appetite,Headache,Anxiety,Redness,Heat,Fever
Bursitis,Pain,Swelling,Fatigue,Weakness,Limited mobility,Muscle pain,Loss of appetite,Headache,Anxiety,Redness,Heat,Fever
Psoriatic Arthritis,Joint pain,Swelling,Redness,Stiffness,Fatigue,Muscle pain,Limited mobility,Skin lesions,Nail changes,Weakness,Headache,Loss of appetite
Ankylosing Spondylitis,Back pain,Stiffness,Fatigue,Limited mobility,Joint pain,Muscle pain,Swelling,Weakness,Headache,Loss of appetite,Anxiety,Weight loss
Sjogren's Syndrome,Dry eyes,Dry mouth,Fatigue,Joint pain,Swelling,Weakness,Muscle pain,Loss of appetite,Headache,Anxiety,Depression,Numbness
Huntington's Disease,Movement disorders,Fatigue,Muscle weakness,Memory loss,Depression,Anxiety,Coordination problems,Weight loss,Loss of appetite,Headache,Nausea,Sleep disturbances
Amyotrophic Lateral Sclerosis,Muscle weakness,Fatigue,Twitching,Spasticity,Difficulty speaking,Swallowing problems,Respiratory issues,Loss of appetite,Muscle cramps,Anxiety,Depression,Weight loss
Migraine,Headache,Nausea,Vomiting,Light sensitivity,Sound sensitivity,Dizziness,Fatigue,Neck pain,Blurred vision,Anxiety,Irritability,Muscle pain
Stroke,Fatigue,Weakness,Numbness,Tingling,Confusion,Headache,Dizziness,Vision problems,Loss of balance,Speech difficulty,Muscle pain,Anxiety
Transient Ischemic Attack,Fatigue,Weakness,Numbness,Confusion,Headache,Dizziness,Vision problems,Loss of balance,Speech difficulty,Muscle weakness,Anxiety,Memory problems
Brain Tumor,Headache,Nausea,Vomiting,Vision problems,Weakness,Fatigue,Seizures,Confusion,Memory loss,Anxiety,Depression,Loss of appetite
Meningitis,Fever,Headache,Stiff neck,Nausea,Vomiting,Photophobia,Confusion,Fatigue,Muscle pain,Chills,Rash,Loss of appetite
Encephalitis,Fever,Headache,Confusion,Seizures,Fatigue,Nausea,Vomiting,Weakness,Muscle pain,Anxiety,Loss of appetite,Chills
Peripheral Neuropathy,Numbness,Tingling,Weakness,Fatigue,Pain,Muscle cramps,Burning sensation,Loss of balance,Loss of appetite,Headache,Anxiety,Swelling
Myasthenia Gravis,Muscle weakness,Fatigue,Drooping eyelids,Double vision,Difficulty speaking,Swallowing problems,Weakness in limbs,Headache,Anxiety,Loss of appetite,Muscle cramps,Depression
Polymyositis,Muscle weakness,Fatigue,Pain,Muscle atrophy,Swelling,Loss of appetite,Anxiety,Depression,Joint pain,Headache,Weakness,Limited mobility
Dermatomyositis,Muscle weakness,Fatigue,Rash,Muscle pain,Swelling,Loss of appetite,Headache,Weakness,Anxiety,Depression,Joint pain,Limited mobility
Chronic Fatigue Syndrome,Extreme fatigue,Muscle pain,Joint pain,Headache,Sleep disturbances,Memory problems,Anxiety,Depression,Sore throat,Swollen lymph nodes,Dizziness,Loss of appetite
Scleroderma,Fatigue,Joint pain,Swelling,Thickened skin,Raynaud's phenomenon,Muscle weakness,Loss of appetite,Anxiety,Depression,Headache,Swelling of fingers,Chest pain
Vasculitis,Fatigue,Fever,Weight loss,Joint pain,Muscle pain,Rash,Loss of appetite,Headache,Swelling,Weakness,Anxiety,Depression
Gastroenteritis,Diarrhea,Nausea,Vomiting,Fever,Abdominal pain,Fatigue,Weakness,Headache,Muscle pain,Loss of appetite,Chills,Dehydration
Toxoplasmosis,Fever,Swollen lymph nodes,Muscle aches,Fatigue,Headache,Sore throat,Nausea,Vomiting,Vision problems,Loss of appetite,Chills,Body ache
Chikungunya,Fever,Severe joint pain,Rash,Headache,Nausea,Muscle pain,Fatigue,Swelling,Red eyes,Loss of appetite,Chills,Weakness
Leptospirosis,Fever,Chills,Muscle pain,Headache,Nausea,Vomiting,Red eyes,Fatigue,Jaundice,Abdominal pain,Loss of appetite,Weakness
Typhoid Fever,Fever,Headache,Abdominal pain,Diarrhea,Constipation,Nausea,Vomiting,Weakness,Fatigue,Lethargy,Loss of appetite,Chills
Q Fever,Fever,Headache,Chills,Fatigue,Muscle aches,Sore throat,Nausea,Vomiting,Cough,Loss of appetite,Chest pain,Weakness
Brucellosis,Fever,Night sweats,Joint pain,Fatigue,Muscle pain,Weakness,Headache,Loss of appetite,Chills,Nausea,Back pain,Sweating
West Nile Virus,Fever,Headache,Fatigue,Muscle pain,Rash,Nausea,Vomiting,Chills,Joint pain,Weakness,Loss of appetite,Confusion
Yellow Fever,Fever,Chills,Headache,Muscle pain,Nausea,Vomiting,Weakness,Jaundice,Lethargy,Back pain,Loss of appetite,Red eyes
Rift Valley Fever,Fever,Muscle pain,Headache,Nausea,Vomiting,Chills,Weakness,Fatigue,Loss of appetite,Joint pain,Red eyes,Rash
Japanese Encephalitis,Fever,Headache,Nausea,Vomiting,Seizures,Confusion,Weakness,Fatigue,Neck stiffness,Lethargy,Loss of appetite,Chills
Dengue Hemorrhagic Fever,Fever,Headache,Muscle pain,Joint pain,Rash,Nausea,Vomiting,Bleeding gums,Chills,Fatigue,Loss of appetite,Weakness
Hemorrhagic Fever with Renal Syndrome,Fever,Chills,Muscle pain,Headache,Nausea,Vomiting,Abdominal pain,Fatigue,Weakness,Back pain,Loss of appetite,Swelling
Anthrax,Fever,Chills,Headache,Muscle pain,Weakness,Nausea,Vomiting,Chest discomfort,Shortness of breath,Loss of appetite,Swelling,Skin lesions
Plague,Fever,Chills,Headache,Weakness,Muscle pain,Nausea,Vomiting,Swollen lymph nodes,Cough,Shortness of breath,Loss of appetite,Confusion
Botulism,Weakness,Dizziness,Blurred vision,Double vision,Drooping eyelids,Difficulty swallowing,Nausea,Vomiting,Fatigue,Constipation,Abdominal pain,Muscle cramps
Rabies,Fever,Headache,Anxiety,Confusion,Excess salivation,Hallucinations,Hydrophobia,Difficulty swallowing,Weakness,Fatigue,Nausea,Agitation
Histoplasmosis,Fever,Chills,Headache,Muscle aches,Weakness,Fatigue,Cough,Chest pain,Shortness of breath,Nausea,Loss of appetite,Joint pain
Coccidioidomycosis,Fever,Chills,Fatigue,Muscle aches,Joint pain,Cough,Chest pain,Shortness of breath,Headache,Nausea,Loss of appetite,Rash
Blastomycosis,Fever,Chills,Muscle aches,Joint pain,Fatigue,Cough,Chest pain,Shortness of breath,Headache,Nausea,Loss of appetite,Rash
Paracoccidioidomycosis,Fever,Chills,Muscle aches,Joint pain,Fatigue,Cough,Chest pain,Headache,Nausea,Loss of appetite,Rash,Weakness
Cryptococcosis,Fever,Headache,Chills,Fatigue,Weakness,Confusion,Nausea,Vomiting,Shortness of breath,Cough,Loss of appetite,Muscle pain
Aspergillosis,Fever,Chills,Cough,Chest pain,Shortness of breath,Weakness,Fatigue,Headache,Nausea,Loss of appetite,Muscle pain,Rash
Pneumocystis Pneumonia,Fever,Chills,Cough,Shortness of breath,Chest pain,Fatigue,Weakness,Muscle pain,Headache,Nausea,Loss of appetite,Confusion
Legionnairesâ€™ Disease,Fever,Chills,Cough,Shortness of breath,Chest pain,Headache,Muscle pain,Nausea,Vomiting,Weakness,Fatigue,Loss of appetite
Tuberculosis,Fever,Chills,Cough,Chest pain,Weight loss,Night sweats,Fatigue,Weakness,Nausea,Loss of appetite,Muscle pain,Shortness of breath
Leprosy,Skin lesions,Numbness,Muscle weakness,Joint pain,Fatigue,Loss of sensation,Deformities,Ulcers,Eye problems,Weakness,Loss of appetite,Swelling
Tetanus,Muscle stiffness,Jaw cramp,Muscle spasms,Fever,Sweating,High blood pressure,Rapid heartbeat,Headache,Irritability,Difficulty swallowing,Seizures,Paralysis
Poliomyelitis,Fever,Fatigue,Headache,Muscle weakness,Muscle pain,Paralysis,Nausea,Vomiting,Loss of reflexes,Back pain,Deformities,Difficulty breathing
Yellow Fever (Severe),Fever,Headache,Muscle pain,Joint pain,Nausea,Vomiting,Chills,Weakness,Jaundice,Bleeding gums,Loss of appetite,Confusion
Smallpox,Fever,Rash,Headache,Back pain,Fatigue,Chills,Muscle pain,Nausea,Loss of appetite,Sore throat,Swollen lymph nodes,Body ache
Chagas Disease,Fever,Swelling,Fatigue,Weakness,Palpitations,Heart enlargement,Arrhythmia,Abdominal pain,Nausea,Loss of appetite,Chills,Muscle pain
Leishmaniasis,Fever,Weight loss,Fatigue,Weakness,Swelling,Anemia,Nausea,Loss of appetite,Enlarged spleen,Muscle pain,Chills,Rash
Schistosomiasis,Fever,Chills,Abdominal pain,Diarrhea,Fatigue,Weakness,Muscle pain,Anemia,Nausea,Liver enlargement,Loss of appetite,Rash
Filariasis,Swelling,Weakness,Fatigue,Muscle pain,Joint pain,Chills,Headache,Nausea,Loss of appetite,Rash,Enlarged lymph nodes,Itching
Onchocerciasis,Itchy skin,Rash,Swelling,Eye lesions,Vision loss,Fatigue,Weakness,Muscle pain,Joint pain,Headache,Nausea,Loss of appetite
Guinea Worm Disease,Blisters,Fever,Swelling,Weakness,Muscle pain,Joint pain,Chills,Headache,Nausea,Loss of appetite,Fatigue,Itching
Toxocariasis,Fever,Abdominal pain,Cough,Headache,Fatigue,Weakness,Rash,Swelling,Muscle pain,Nausea,Loss of appetite,Chills
Echinococcosis,Fatigue,Weakness,Abdominal pain,Liver enlargement,Nausea,Loss of appetite,Chills,Muscle pain,Joint pain,Fever,Headache,Swelling
Trichinosis,Fever,Muscle pain,Swelling,Weakness,Headache,Chills,Nausea,Vomiting,Diarrhea,Fatigue,Loss of appetite,Joint pain
Fascioliasis,Fever,Abdominal pain,Diarrhea,Nausea,Headache,Fatigue,Weakness,Loss of appetite,Chills,Muscle pain,Swelling,Jaundice
Malaria (Severe),Fever,Chills,Headache,Nausea,Vomiting,Muscle pain,Fatigue,Weakness,Anemia,Loss of appetite,Sweating,Confusion
Babesiosis,Fever,Chills,Fatigue,Weakness,Muscle pain,Headache,Nausea,Vomiting,Loss of appetite,Anemia,Joint pain,Jaundice
Trypanosomiasis (African Sleeping Sickness),Fever,Headache,Fatigue,Weakness,Muscle pain,Swelling,Confusion,Sleep disturbances,Nausea,Loss of appetite,Chills,Joint pain
Trypanosomiasis (Chagas),Fever,Swelling,Muscle pain,Weakness,Palpitations,Heart enlargement,Arrhythmia,Nausea,Loss of appetite,Chills,Headache,Joint pain
Leishmania (Visceral),Fever,Weight loss,Fatigue,Weakness,Swelling,Anemia,Nausea,Loss of appetite,Liver enlargement,Spleen enlargement,Muscle pain,Chills
Lymphatic Filariasis,Swelling,Weakness,Fatigue,Muscle pain,Joint pain,Chills,Headache,Nausea,Loss of appetite,Rash,Enlarged lymph nodes,Itching
Loiasis,Fever,Swelling,Eye pain,Weakness,Fatigue,Muscle pain,Headache,Joint pain,Nausea,Loss of appetite,Chills,Rash
Onchocerca volvulus,Itchy skin,Rash,Swelling,Eye lesions,Vision loss,Fatigue,Weakness,Muscle pain,Joint pain,Headache,Nausea,Loss of appetite
Schistosoma mansoni,Fever,Chills,Abdominal pain,Diarrhea,Fatigue,Weakness,Muscle pain,Anemia,Nausea,Liver enlargement,Loss of appetite,Rash
Echinococcus granulosus,Fatigue,Weakness,Abdominal pain,Liver enlargement,Nausea,Loss of appetite,Chills,Muscle pain,Joint pain,Fever,Headache,Swelling
Trichinella spiralis,Fever,Muscle pain,Swelling,Weakness,Headache,Chills,Nausea,Vomiting,Diarrhea,Fatigue,Loss of appetite,Joint pain